"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"1370",2276,94,59,22,0,1,10,1,1,858,858,96,69,27,0,0,0,1053,735,9,27,180,0,30,72,9,0,6,3,166,3,0,162,1
"1371",1736,109,62,22,0,5,13,4,3,945,945,20,14,4,0,0,2,638,435,9,57,42,0,37,58,8,0,3,5,16,4,0,12,0
"1372",5311,502,287,113,1,8,54,14,25,2272,2272,80,36,34,6,0,4,2015,1451,13,105,174,4,61,207,150,54,55,41,292,97,0,189,6
"1373",1181,126,85,20,0,1,13,3,4,589,589,4,1,0,2,1,0,282,173,7,26,10,0,26,40,3,0,3,0,177,146,0,14,17
"1374",697,39,23,10,0,0,1,3,2,442,442,8,5,3,0,0,0,208,88,9,27,18,0,24,42,0,0,0,0,0,0,0,0,0
"1375",4649,159,75,24,0,2,48,6,4,1835,1835,314,131,183,0,0,0,1689,1253,19,47,156,50,29,135,451,111,144,196,201,39,0,161,1
"-600",48069,1780,1091,321,0,16,209,53,90,16050,16050,2097,978,1106,3,1,9,20069,13973,137,582,2724,704,415,1534,5798,2087,2046,1665,2275,523,457,1280,15
"1401",5383,246,155,39,0,5,27,9,11,1539,1539,218,146,66,2,0,4,2862,2136,11,60,409,9,34,203,285,64,126,95,233,38,0,189,6
"1402",7490,254,122,40,0,1,61,12,18,1954,1954,379,162,217,0,0,0,1940,1356,7,40,158,241,36,102,2461,1243,756,462,502,37,457,8,0
"1403",8591,224,148,41,0,3,20,3,9,2578,2578,235,111,122,0,0,2,4607,3053,31,86,768,147,91,431,531,108,240,183,416,44,0,372,0
"1404",9259,277,182,56,0,0,29,6,4,3777,3777,475,206,268,0,0,1,2718,1872,32,109,308,126,60,211,1766,544,632,590,246,122,0,124,0
"1405",4648,158,115,19,0,1,16,1,6,1848,1848,174,69,105,0,0,0,1949,1470,19,70,163,79,49,99,297,81,89,127,222,212,0,10,0
"1406",5382,200,119,39,0,1,21,7,13,2154,2154,355,146,208,0,0,1,2233,1554,17,83,268,88,40,183,379,46,155,178,61,25,0,36,0
"1407",7316,421,250,87,0,5,35,15,29,2200,2200,261,138,120,1,1,1,3760,2532,20,134,650,14,105,305,79,1,48,30,595,45,0,541,9
